@RELATION ..\..\..\data_arff\u001-training.arff

@ATTRIBUTE GestureType  {swipe_left,swipe_right,swipe_up,swipe_down,tap_left,tap_right,tap_up,tap_down,scratchout,circle,square,x,c,two_handed_fb,two_handed_lr,unknown}
@ATTRIBUTE MinX NUMERIC
@ATTRIBUTE MinY NUMERIC
@ATTRIBUTE MaxX NUMERIC
@ATTRIBUTE MaxY NUMERIC
@ATTRIBUTE MeanX NUMERIC
@ATTRIBUTE MeanY NUMERIC
@ATTRIBUTE MedianX NUMERIC
@ATTRIBUTE MedianY NUMERIC
@ATTRIBUTE DiagonalLength NUMERIC
@ATTRIBUTE StartAngleSinXY NUMERIC
@ATTRIBUTE StartAngleCosXY NUMERIC
@ATTRIBUTE FirstLastAngleSinXY NUMERIC
@ATTRIBUTE FirstLastAngleCosXY NUMERIC
@ATTRIBUTE TotalAngleXY NUMERIC
@ATTRIBUTE AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE SquaredTotalAngleXY NUMERIC
@ATTRIBUTE FirstLastDistance NUMERIC
@ATTRIBUTE TotalDistance NUMERIC
@ATTRIBUTE MaxAccelerationSquared NUMERIC
@ATTRIBUTE ZeroCrossingsX NUMERIC
@ATTRIBUTE ZeroCrossingsY NUMERIC
@ATTRIBUTE Stroke_MinX NUMERIC
@ATTRIBUTE Stroke_MinY NUMERIC
@ATTRIBUTE Stroke_MaxX NUMERIC
@ATTRIBUTE Stroke_MaxY NUMERIC
@ATTRIBUTE Stroke_MeanX NUMERIC
@ATTRIBUTE Stroke_MeanY NUMERIC
@ATTRIBUTE Stroke_MedianX NUMERIC
@ATTRIBUTE Stroke_MedianY NUMERIC
@ATTRIBUTE Stroke_DiagonalLength NUMERIC
@ATTRIBUTE Stroke_StartAngleSinXY NUMERIC
@ATTRIBUTE Stroke_StartAngleCosXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleSinXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleCosXY NUMERIC
@ATTRIBUTE Stroke_TotalAngleXY NUMERIC
@ATTRIBUTE Stroke_AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_SquaredTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_FirstLastDistance NUMERIC
@ATTRIBUTE Stroke_TotalDistance NUMERIC
@ATTRIBUTE Stroke_MaxAccelerationSquared NUMERIC
@ATTRIBUTE Stroke_SideRatioFirst NUMERIC
@ATTRIBUTE Stroke_SideRatioLast NUMERIC
@ATTRIBUTE Stroke_TopRatioFirst NUMERIC
@ATTRIBUTE Stroke_TopRatioLast NUMERIC
@ATTRIBUTE Duration NUMERIC

@DATA
swipe_left,0,-2.824313,4.033536,0,2.778659,-1.945638,3.226829,-2.25945,4.924039,-0.5735765,0.819152,0.5735765,-0.8191521,6.370451,8.813913,19.96006,2.954423,6.893654,24.24616,0,0,152.5921,130.3333,177.6,147.8441,163.4019,140.2749,160.6591,142.1954,30.52905,0.5735763,-0.8191522,0.5735765,-0.8191521,20.24582,20.24582,51.23665,30.52905,30.52905,48528.54,1,0,0,1,423
swipe_left,0,-5.083763,7.260365,0.5648625,1.532744,-0.9602663,4.840244,-3.389175,9.198906,-1,-4.371139E-08,-0.5735765,-0.8191521,5.759586,14.48623,33.14238,0.9848077,24.62019,78.55755,0,0,162.2726,129.7685,177.6,139.936,169.8263,134.7495,168.7262,135.4171,18.39317,-0.5735632,-0.8191614,0.5309135,-0.847426,7.592175,12.65366,32.02303,18.08705,18.71133,48528.54,1,0,0.05555439,1,470
swipe_left,0,-5.648625,8.067073,2.25945,2.07439,-0.1613893,0,0,11.2967,-0.5735765,-0.8191521,-0.5735765,-0.8191521,-0.6108651,5.67232,13.18232,3.939231,23.63539,96.98463,0,1,163.0793,125.8144,177.6,131.4631,170.3396,128.0739,171.1463,125.8144,15.58072,-0.5735763,-0.8191522,0.07756674,-0.9969872,-2.530728,7.592183,19.21375,14.56462,17.72655,48528.54,1,0,0.7999992,1,329
swipe_left,0,-6.213488,10.4872,3.389175,4.840243,-1.390431,8.87378,-6.213488,14.21944,0.3873301,0.9219411,-0.90291,-0.4298297,2.609613,18.85794,41.97705,1.876807,32.45221,117.958,0,1,114.6768,121.8604,177.6,148.4089,145.8503,134.1663,139.6848,130.8982,68.29459,-0.9029072,-0.4298355,0.2760984,-0.9611294,7.908301,28.21747,73.05743,65.46796,73.82421,48528.54,1,0,0.3191487,1,611
swipe_left,0,-6.213488,11.2939,4.5189,5.01311,-0.6859045,11.2939,-4.5189,15.58,-0.5735765,-0.8191521,-0.5735765,-0.8191521,1.600792,22.31022,49.62027,2.954423,40.38411,147.9727,0,1,107.4165,115.082,177.6,139.936,142.6965,128.0362,146.1384,116.2118,74.45433,-0.5735755,-0.8191527,0.1355592,-0.9907693,5.786408,31.09369,80.82207,70.83743,81.98386,48528.54,1,0,0.6136363,1,658
swipe_left,0,-3.389175,4.840244,0,2.860144,-1.79729,4.840244,-3.389175,5.908847,-0.8138149,0.5811241,-8.742278E-08,-1,2.617994,12.56637,27.11095,1.613415,13.78731,34.91447,0,0,146.1384,130.3333,177.6,150.1035,159.3819,141.1128,155.0122,143.89,37.15767,0.2874269,-0.9578025,0.5320621,-0.8467054,26.13127,26.13127,68.63501,37.15767,37.50232,48528.54,1,0,0,1,517
swipe_left,0,-3.389175,4.840244,0,2.346785,-1.951344,4.840244,-3.389175,5.908847,-1,-4.371139E-08,0.5735765,-0.8191521,8.725374,15.55065,35.22533,1.969615,21.93071,34.91447,0,0,151.7854,130.3333,177.6,151.7981,164.491,141.7718,164.6927,142.7603,33.57279,0.4229891,-0.9061348,0.6393505,-0.7689154,22.01938,22.01938,54.41576,33.57279,34.5615,48528.54,1,0,0,1,517
swipe_left,0,-2.824313,4.033536,0,2.904146,-2.033505,4.033536,-2.824313,4.924039,-0.5735765,0.819152,0.5735765,-0.8191521,8.290314,11.95551,26.73779,1.969615,9.848078,24.24616,0,0,148.5585,130.3333,177.6,150.6684,162.1992,141.1171,162.2726,141.0657,35.45309,0.5735755,-0.8191527,0.5735763,-0.8191522,22.77655,22.77655,57.64123,35.45309,35.45309,48528.54,1,0,0,1,470
swipe_left,0,-3.389175,4.840244,1.129725,2.566796,-1.283778,4.840244,-3.389175,6.621814,0.5735765,0.819152,-0.5735765,-0.8191521,5.688742,10.71735,22.00396,0.9848077,12.78534,34.91447,0,1,149.3652,127.509,177.6,144.4549,163.7515,135.4171,162.2726,135.4171,32.92969,-0.5735726,-0.8191547,0.4473197,-0.8943741,10.12289,25.30728,64.04583,31.56929,34.46827,48528.54,1,0,0.1666665,1,517
swipe_left,0,-2.824313,4.033536,0.5648625,2.10985,-1.303529,3.226829,-2.25945,5.268389,-0.90291,0.4298296,-0.5735765,-0.8191521,7.774686,12.47113,27.63362,0.9848077,11.72488,24.24616,0,1,150.172,129.2036,177.6,147.2792,163.3674,138.2818,161.4659,139.3711,32.84852,-0.573572,-0.8191552,0.5256057,-0.8507283,20.24582,30.36875,76.8551,32.24067,33.48346,48528.54,1,0,0.06249947,1,611
