@RELATION ..\..\..\data_arff\all-training.arff
@ATTRIBUTE GestureType  {swipe_left,swipe_right,swipe_up,swipe_down,swipe_front,swipe_back,tap_left,tap_right,tap_up,tap_down,tap_front,tap_back,scratchout,circle,square,x,c,two_handed_fb,two_handed_lr,horizontal_circle,vertical_circle,spiral,arm_lift,arm_drop,triangle,z,unknown}
@ATTRIBUTE MinX NUMERIC
@ATTRIBUTE MinY NUMERIC
@ATTRIBUTE MinZ NUMERIC
@ATTRIBUTE MaxX NUMERIC
@ATTRIBUTE MaxY NUMERIC
@ATTRIBUTE MaxZ NUMERIC
@ATTRIBUTE MeanX NUMERIC
@ATTRIBUTE MeanY NUMERIC
@ATTRIBUTE MeanZ NUMERIC
@ATTRIBUTE MedianX NUMERIC
@ATTRIBUTE MedianY NUMERIC
@ATTRIBUTE MedianZ NUMERIC
@ATTRIBUTE DiagonalLength NUMERIC
@ATTRIBUTE StartAngleSinXY NUMERIC
@ATTRIBUTE StartAngleCosXY NUMERIC
@ATTRIBUTE StartAngleSinXZ NUMERIC
@ATTRIBUTE FirstLastAngleSinXY NUMERIC
@ATTRIBUTE FirstLastAngleCosXY NUMERIC
@ATTRIBUTE FirstLastAngleSinXZ NUMERIC
@ATTRIBUTE TotalAngleXY NUMERIC
@ATTRIBUTE TotalAngleXZ NUMERIC
@ATTRIBUTE AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE AbsoluteTotalAngleXZ NUMERIC
@ATTRIBUTE SquaredTotalAngleXY NUMERIC
@ATTRIBUTE SquaredTotalAngleXZ NUMERIC
@ATTRIBUTE FirstLastDistance NUMERIC
@ATTRIBUTE TotalDistance NUMERIC
@ATTRIBUTE MaxAccelerationSquared NUMERIC
@ATTRIBUTE ZeroCrossingsX NUMERIC
@ATTRIBUTE ZeroCrossingsY NUMERIC
@ATTRIBUTE ZeroCrossingsZ NUMERIC
@ATTRIBUTE Stroke_MinX NUMERIC
@ATTRIBUTE Stroke_MinY NUMERIC
@ATTRIBUTE Stroke_MinZ NUMERIC
@ATTRIBUTE Stroke_MaxX NUMERIC
@ATTRIBUTE Stroke_MaxY NUMERIC
@ATTRIBUTE Stroke_MaxZ NUMERIC
@ATTRIBUTE Stroke_MeanX NUMERIC
@ATTRIBUTE Stroke_MeanY NUMERIC
@ATTRIBUTE Stroke_MeanZ NUMERIC
@ATTRIBUTE Stroke_MedianX NUMERIC
@ATTRIBUTE Stroke_MedianY NUMERIC
@ATTRIBUTE Stroke_MedianZ NUMERIC
@ATTRIBUTE Stroke_DiagonalLength NUMERIC
@ATTRIBUTE Stroke_StartAngleSinXY NUMERIC
@ATTRIBUTE Stroke_StartAngleCosXY NUMERIC
@ATTRIBUTE Stroke_StartAngleSinXZ NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleSinXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleCosXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleSinXZ NUMERIC
@ATTRIBUTE Stroke_TotalAngleXY NUMERIC
@ATTRIBUTE Stroke_TotalAngleXZ NUMERIC
@ATTRIBUTE Stroke_AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_AbsoluteTotalAngleXZ NUMERIC
@ATTRIBUTE Stroke_SquaredTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_SquaredTotalAngleXZ NUMERIC
@ATTRIBUTE Stroke_FirstLastDistance NUMERIC
@ATTRIBUTE Stroke_TotalDistance NUMERIC
@ATTRIBUTE Stroke_MaxAccelerationSquared NUMERIC
@ATTRIBUTE Stroke_ZeroCrossingsX NUMERIC
@ATTRIBUTE Stroke_ZeroCrossingsY NUMERIC
@ATTRIBUTE Stroke_ZeroCrossingsZ NUMERIC
@ATTRIBUTE Duration NUMERIC
@DATA
swipe_down,-4.054808,0,-3.020945,5.675313,14.9252,0.58987,1.382038,6.270825,-0.8176317,5.675313,12.37553,0.3952773,18.17897,0.9632023,-0.2687775,0.1076233,-0.163558,0.9865337,-0.1974252,-3.103699,3.071987,13.11542,12.31425,23.1024,25.24008,1.674731,41.57853,233.3602,1,0,4,-5.675313,0,-8.176317,13.82038,62.70825,0.3263518,3.327239,34.48959,-2.554526,-0.7996169,40.02753,-1.314168,66.21708,0.9411627,-0.3379537,-0.3171339,0.9765641,0.2152267,-0.5091783,12.9299,1.730422,12.9299,10.31812,22.67887,21.98664,64.7316,72.57475,4190.18,1,0,3,470
swipe_down,-3.255191,-0.2961981,-2.215537,1.627595,11.32841,1.763518,-0.5443044,3.720082,-0.5730835,-2.448483,4.546434,-2.215537,13.22142,0.9514858,-0.3076925,0.8506738,-0.5735765,-0.8191521,0.2104354,3.197544,3.527346,16.15326,17.00397,31.69022,38.16885,1,40.35799,133.9513,5,2,3,-6.531652,0,-6.877002,2.434303,44.64098,3.200685,-0.8900328,25.56886,-1.782678,2.427212,32.66874,0.07501743,46.63438,0.7852293,0.6192052,0.124484,0.9894648,-0.1447737,-0.7250783,13.74342,-4.983358,19.32848,18.50667,38.46708,39.40645,45.63741,53.18291,2082.773,1,0,2,564
swipe_down,-2.441393,-0.02753374,-2.736482,4.076079,10.46735,0.9581109,1.087427,4.291631,-0.6691421,4.047717,6.256599,-1.868241,12.89457,1,-4.371139E-08,-1,-0.5735765,0.819152,0.2104355,1.506114,-2.503078,17.3399,16.56169,38.9894,37.64118,1,42.63138,121.4301,1,2,4,-4.054808,0,-8.029705,13.04912,51.49958,0.02703645,3.32979,26.29891,-3.613189,0.007090397,25.12986,-2.188501,54.86039,0.90291,-0.4298297,-0.5424857,0.969366,0.2456209,-0.5240726,14.50004,-6.732708,14.51355,14.10905,24.13898,29.07667,53.73046,61.67677,2886.963,1,0,2,564
swipe_down,-8.902142,0,-2.368241,6.503291,5.346449,0.8054073,-1.401602,2.332773,-0.4353137,6.503291,2.528115,-0.3682409,16.61276,0.9518815,0.3064664,-0.3896377,-0.9996519,0.02638208,-0.9997641,6.863112,4.14423,22.3429,22.72518,57.79277,62.76253,0.4227722,58.41249,102.2222,6,0,3,-21.10202,0,-6.529705,0,34.99158,2.17974,-12.39879,20.21957,-1.413034,-14.59873,25.25126,0.5540729,41.77991,0.5586218,-0.8294225,0.4215854,0.8571786,-0.5150192,-0.2966068,24.66965,-5.619771,24.66965,26.50559,55.11953,70.19341,41.34075,61.43634,1709.058,0,0,1,705
swipe_down,-3.2481,-0.3237319,-2.5,2.434303,5.905334,2.305407,-0.4338355,1.509093,0.2429843,0.007090397,4.183212,1.631759,9.704787,-0.7374629,-0.6753877,0.8789733,-0.5735765,0.819152,0.2104355,0.9947181,5.550423,18.1633,21.36517,37.13785,50.09796,1,33.38775,45.50404,3,2,1,-12.13606,0,-0.1736482,0,19.61821,8.3115,-6.410217,11.28339,3.305461,-8.902142,15.58755,6.006092,24.57958,0.8423855,-0.5388754,0.2846382,0.9610742,-0.2762905,0.4886592,14.4928,10.5472,20.38163,22.58825,46.60108,54.13869,20.65575,36.4067,540.9466,0,0,1,611
swipe_down,-0.8067073,0,-1.694593,5.696584,7.062593,0.1108146,1.036387,2.134069,-0.3807728,0.8208881,4.271791,-1.694593,9.768956,-0.5735765,-0.8191521,0.2104354,-1,-4.371139E-08,1,-8.240387,-0.3992648,13.04972,12.6616,26.67038,30.29746,1.181903,29.79297,74.32678,4,0,2,-0.007090397,0,-4.188501,11.40026,23.47476,0,6.442565,14.7605,-2.08051,10.57937,22.3175,-3.014853,26.43361,0.9801001,0.1985038,-0.4182967,0.8995348,0.4368491,-0.3448647,11.55361,-9.322459,11.55361,9.36136,20.79991,21.23679,26.43055,29.60046,698.5739,2,0,0,517
swipe_down,-1.613415,-2.561626,-1.347296,4.826063,7.062593,2.041889,0.5275504,0.9085711,-0.1878713,1.641776,4.244258,-0.8682409,12.06561,0.537451,-0.843295,-0.4529205,0.537451,-0.843295,-0.4529205,5.665599,-8.294634,26.8216,29.98074,56.69061,76.61387,5.185215,36.44011,56.70071,5,3,3,0,-4.55839,-3.757426,12.1786,18.17142,4.236482,8.700277,7.568239,0.5296664,8.074163,9.862993,1.631759,26.99751,-0.4580883,0.8889067,0.40431,0.8647918,0.5021305,-0.3354818,20.01516,-15.5275,23.15631,23.15073,46.43365,53.07698,21.34579,41.60895,467.112,0,1,1,940
swipe_down,-1.606324,0,-2.520945,1.627595,7.951187,0.6527036,0.1921628,2.737562,-0.9776496,0.8208881,1.157259,-1.173648,9.151593,0.9621559,-0.2724994,-0.8993216,-0.9221783,-0.3867651,-0.6223627,-3.918294,3.798918,16.22565,16.5365,30.84522,36.12225,2.220541,29.79395,71.57865,5,0,0,-0.7854361,0,-12.70944,2.498116,35.5883,0.6527036,1.083789,24.53384,-7.45414,1.663047,32.70892,-10.1885,38.15568,0.9951156,-0.09871584,-0.6734476,0.9975454,0.07002253,-0.9812252,12.66098,-11.57731,12.66098,12.92082,18.89095,20.72153,37.87212,40.65437,1434.298,2,0,1,611
swipe_down,-4.889876,0,-1.562834,0.8067073,12.93441,1.068925,-1.045298,4.346745,-0.2531827,-4.889876,12.93441,1.068925,14.37624,0.9860851,0.1662414,-0.6066054,-0.163558,0.9865337,-0.1974252,0.4763857,2.760712,8.247603,8.835921,16.13407,21.6475,1.674731,35.81547,192.3526,3,0,2,-7.317089,0,-1.772279,0,30.42722,0.3263518,-3.560365,15.63157,-0.5953455,-5.703674,23.64887,0.3114992,31.36494,0.7155242,-0.698588,0.1844244,0.9722816,-0.2338127,-0.2354043,11.03535,0.06256437,11.03535,11.67592,23.84076,29.51634,31.3448,34.846,982.4965,0,0,3,329
swipe_down,-4.840244,-0.2686644,-3.062834,6.503291,10.23219,0.3263518,1.8035,3.496422,-0.5487435,6.503291,8.482537,-0.8891854,15.82499,0.5222526,0.8527908,-0.05350168,-0.163558,0.9865337,-0.1974252,4.750385,-1.790128,20.69285,20.22266,44.72176,50.19328,1.674731,50.76912,120.0391,3,1,2,-2.434303,0,-7.682409,28.46874,49.21857,0.4581109,14.31858,27.6069,-3.196878,16.24759,33.07507,-3.73039,58.68334,0.7852293,-0.6192051,0.124484,0.8887351,0.4584211,-0.2910899,14.22671,-5.132737,14.5553,11.20637,25.45808,28.1695,55.61137,67.48765,3092.625,1,0,1,658
