@RELATION ..\..\..\data_arff\u009-training.arff
@ATTRIBUTE GestureType  {swipe_left,swipe_right,swipe_up,swipe_down,tap_left,tap_right,tap_up,tap_down,scratchout,circle,square,x,c,two_handed_fb,two_handed_lr,unknown}
@ATTRIBUTE MinX NUMERIC
@ATTRIBUTE MinY NUMERIC
@ATTRIBUTE MaxX NUMERIC
@ATTRIBUTE MaxY NUMERIC
@ATTRIBUTE MeanX NUMERIC
@ATTRIBUTE MeanY NUMERIC
@ATTRIBUTE MedianX NUMERIC
@ATTRIBUTE MedianY NUMERIC
@ATTRIBUTE DiagonalLength NUMERIC
@ATTRIBUTE StartAngleSinXY NUMERIC
@ATTRIBUTE StartAngleCosXY NUMERIC
@ATTRIBUTE FirstLastAngleSinXY NUMERIC
@ATTRIBUTE FirstLastAngleCosXY NUMERIC
@ATTRIBUTE TotalAngleXY NUMERIC
@ATTRIBUTE AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE SquaredTotalAngleXY NUMERIC
@ATTRIBUTE FirstLastDistance NUMERIC
@ATTRIBUTE TotalDistance NUMERIC
@ATTRIBUTE MaxAccelerationSquared NUMERIC
@ATTRIBUTE ZeroCrossingsX NUMERIC
@ATTRIBUTE ZeroCrossingsY NUMERIC
@ATTRIBUTE Stroke_MinX NUMERIC
@ATTRIBUTE Stroke_MinY NUMERIC
@ATTRIBUTE Stroke_MaxX NUMERIC
@ATTRIBUTE Stroke_MaxY NUMERIC
@ATTRIBUTE Stroke_MeanX NUMERIC
@ATTRIBUTE Stroke_MeanY NUMERIC
@ATTRIBUTE Stroke_MedianX NUMERIC
@ATTRIBUTE Stroke_MedianY NUMERIC
@ATTRIBUTE Stroke_DiagonalLength NUMERIC
@ATTRIBUTE Stroke_StartAngleSinXY NUMERIC
@ATTRIBUTE Stroke_StartAngleCosXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleSinXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleCosXY NUMERIC
@ATTRIBUTE Stroke_TotalAngleXY NUMERIC
@ATTRIBUTE Stroke_AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_SquaredTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_FirstLastDistance NUMERIC
@ATTRIBUTE Stroke_TotalDistance NUMERIC
@ATTRIBUTE Stroke_MaxAccelerationSquared NUMERIC
@ATTRIBUTE Stroke_SideRatioFirst NUMERIC
@ATTRIBUTE Stroke_SideRatioLast NUMERIC
@ATTRIBUTE Stroke_TopRatioFirst NUMERIC
@ATTRIBUTE Stroke_TopRatioLast NUMERIC
@ATTRIBUTE Duration NUMERIC
@DATA
swipe_left,0,-3.389175,4.840244,2.25945,2.668339,-0.6517645,2.420122,-1.694588,7.438745,-0.5735766,-0.8191519,-0.5735765,-0.8191521,2.539972,20.14931,46.38319,3.939231,23.24605,34.91447,0,1,142.9116,124.1198,177.6,138.8063,158.0661,130.7772,155.8189,128.6387,37.66932,-0.5735755,-0.8191527,0.2372829,-0.9714406,7.465489,28.47445,74.12382,35.70822,41.19673,48528.54,1,0,0.4230766,1,611
swipe_left,0,-1.694588,4.033536,2.824313,2.112804,0.4034732,3.226829,0,6.057217,0.5735764,0.8191521,-0.5735765,-0.8191521,4.363324,27.0526,63.3452,0.9848077,18.35515,24.24616,0,1,133.2311,113.3875,177.6,130.3333,152.3354,119.9347,146.9451,113.3875,47.49487,-0.5735726,-0.8191547,-0.1875759,-0.9822501,-2.010037,49.548,129.8392,45.17068,52.13163,48528.54,1,0,1,0.5000002,987
swipe_left,0,-3.389175,5.646951,2.25945,2.765854,-0.242084,5.646951,0.5648625,7.987179,-0.5735765,-0.8191521,-0.5735765,-0.8191521,-3.585896,16.15227,33.63898,1.969615,19.74826,34.91447,0,1,138.8781,121.8604,177.6,133.7225,161.2507,127.622,166.3061,122.4253,40.49814,-0.5735747,-0.8191532,0.08719269,-0.9961914,-2.486208,28.90487,76.28749,38.86999,44.54652,48528.54,1,0,0.7142856,1,658
swipe_left,-0.8067073,-3.954038,5.646951,2.824313,2.844704,-0.2675666,5.646951,0.5648625,9.35926,-0.5735765,0.819152,-0.5735765,0.819152,-1.316969,29.0677,62.47102,0.9848077,31.71087,47.52247,1,1,123.5506,116.7766,179.2134,135.4171,154.0441,126.3228,155.0122,116.7766,58.70105,-0.5735757,0.8191525,0.09364446,-0.9956057,3.671119,37.9319,97.37168,54.28795,66.6481,48811.02,0.9710147,0,0.7272723,1,893
swipe_left,-0.8067073,-6.77835,15.32744,6.77835,5.888963,0.0564862,15.32744,-2.824313,21.07356,-0.5735765,-0.8191521,-0.5735765,-0.8191521,-2.902664,14.2473,29.96019,6.893654,62.39019,242.9071,1,1,118.7104,116.7766,177.6,130.3333,147.6785,125.0955,148.5585,116.7766,60.42991,-0.6824253,-0.7309554,-0.009591345,-0.999954,-0.63873,16.68038,43.67291,58.89235,67.70364,48528.54,1,0,1,0.9583343,470
swipe_left,-1.613415,-4.5189,16.13415,5.648625,3.388171,-0.5648625,8.067073,5.648625,20.45372,0.2272935,-0.9738263,-0.5735765,-0.8191521,11.87819,22.15573,53.85606,0.9848077,45.59737,265.4158,1,1,126.7774,121.2955,180.8268,138.8063,159.7012,130.0862,172.7598,121.2955,56.81516,-1,-4.371139E-08,0.1644465,-0.986386,8.481317,23.49118,57.11957,51.52401,66.01733,48813.16,0.9402986,0,0.5161287,1,705
swipe_left,-2.420122,-6.77835,10.4872,5.648625,5.128353,-0.6052099,8.87378,-6.213488,17.91727,0.3304376,0.9438278,-0.5735765,0.8191521,1.178308,13.85565,25.08959,2.954423,56.58561,139.6579,2,1,103.3829,110.5631,180.8268,138.8063,140.115,125.6262,137.2646,112.2577,82.4332,-0.5735765,0.819152,0.1171992,-0.9931084,2.171308,25.76192,64.09936,72.29518,97.84159,49101.26,0.9583334,0.03125008,0.6999997,1,658
swipe_left,0,-6.77835,12.90732,5.648625,6.211646,-0.8472937,12.10061,-2.824313,17.91727,-0.5735765,-0.8191521,-0.5735765,-0.8191521,-4.115569,15.46021,34.21457,6.893654,43.67385,166.5988,0,1,115.4835,120.7307,177.6,138.8063,147.7518,128.9469,150.9787,120.7307,64.69299,-0.5735755,-0.8191527,0.1351527,-0.9908248,8.660604,18.78352,50.76437,62.69168,70.02151,48528.54,1,0,0.5312497,1,470
swipe_left,-1.613415,-6.77835,14.52073,7.343213,5.704573,-0.2824313,9.680488,-6.77835,21.4413,0.72424,0.689548,-0.5735765,-0.8191521,5.351142,17.95959,35.327,0.9848077,58.54944,212.1279,1,1,97.73598,107.7388,178.4067,134.2874,133.7151,122.6512,124.3573,108.8686,84.92698,-0.9029104,0.4298288,0.04944897,-0.9987767,1.04204,28.35007,71.54505,79.96185,102.2388,48528.54,0.9900001,0,0.8510637,1,658
swipe_left,-1.613415,-6.77835,15.32744,6.213488,4.248658,-0.4895474,8.87378,6.213488,21.34901,0.2272935,-0.9738263,-0.5735765,-0.8191521,-3.281639,21.70493,47.9831,0.9848077,66.62867,242.9071,2,1,113.8701,113.3875,180.8268,137.6765,153.55,125.5673,165.4994,113.9523,71.22612,-0.8138137,-0.5811258,0.1144667,-0.9934271,-2.417969,26.66267,64.44559,64.15154,90.01617,48528.54,0.9518073,0,0.6976743,1,705
